# 柬・東
練	絲木日
爛	火門木日
蘭	艹門木日
欄	木門木日
攔	扌門木日
瀾	氵門木日
闌	門木日
煉	火木日
斕	文門木日
讕	言門木日
鑭	金門木日
籣	⺮門木日
灡	氵艹門木日
襴	衤門木日
暕	日木日
鰊	魚木日
鶫	木日鳥
朄	申木日
瑓	王木日
糷	米艹門木日
萰	艹木日
𡔔	土艹門木日
𪩱	巴門木日
𫲴	子艹門木日
𡄮	口金木日
𫇡	舟艹門木日
㘓	口門木日
𢦂	忄艹門木日
𠣂	言木日力
㦨	忄門木日
囒	口艹門木日
䃹	石門木日
𬵿	魚艹門木日
𥈵	目木日
𫋨	虫言木日
𢒞	木日彡
欗	木艹門木日
𢺤	扌艹門木日
𩽥	魚門木日

# 黑・黒
墨	甲二灬土
黛	亻弋甲二灬
濹	氵四二灬土

# 曾・曽
層	尸丷田日
贈	貝丷田日
僧	亻丷田日
憎	忄丷田日

# 吳・吴・呉
誤	言口乚大
誤	言口乚一八
虞	虎口乚大
虞	虎口乚一八
蜈	虫口乚大
蜈	虫口乚一八
麌	鹿口乚大
鋘	金口乚大
噳	口虎口乚大
茣	艹口乚大
澞	氵虎口乚大
𣮇	口乚大毛

# 画（田・由）
画	一由凵
婳	女一由凵
𪽗	尸丶一由凵
𤳰	尸毛尸丶一由凵
𡳒	尸毛一由凵

# 爪缶・夕缶・爪一十凵
鰩	魚夕牛山
徭	行夕牛山
傜	亻夕牛山
愮	忄夕牛山
颻	夕牛山風
媱	女夕牛山
猺	犭夕牛山
𤁓	氵王夕牛山
𤁠	氵之夕牛山
𩆍	雨氵夕牛山
嗂	口夕牛山
䁘	目夕牛山
𩆡	雨之夕牛山
𡏟	土夕牛山
𩆋	雨扌夕牛山
謡	言爪一十凵
瑶	王爪一十凵
遥	之爪一十凵

# 夕寸・爪寸
埓	土夕寸
将	丬爪寸
蒋	艹丬爪寸

# 直（十且・十目乚）
直	十目乚
置	四十目乚
植	木十目乚
殖	一夕十目乚
矗	十目乚十目乚十目乚
埴	土十目乚
淔	氵十目乚
稙	禾十目乚
犆	牛十目乚
𫹦	十目乚行土寸
𬑚	十目乚匚巾
𫤁	亻小冂口十目乚
𪧡	十目乚宀寸
𫕾	四十目乚非
𥊢	十目乚小冂口
𤣡	犭四勹虫十目乚
𥊣	小冂口十目乚
𤊧	火十目乚
𫗾	禾日十目乚
𠶗	口十目乚

# 真・眞
滇	氵匕目乚八
嗔	口匕目乚八
癲	疒匕目乚八頁
縝	絲匕目乚八
禛	礻匕目乚八
禛	示匕目乚八
闐	門匕目乚八
瞋	目匕目乚八
稹	禾匕目乚八
寘	宀匕目乚八
瑱	王匕目乚八
傎	亻匕目乚八
搷	扌匕目乚八
鬒	長彡匕目乚八
窴	穴匕目乚八
磌	石匕目乚八
蹎	足匕目乚八
衠	行匕目乚八
鷏	匕目乚八鳥
齻	齒匕目乚八
𤄱	氵金匕目乚八
𧜖	衤匕目乚八
𪓇	四二灬匕目乚八頁
𬹙	匕目乚八四二灬
𠆍	亠月匕目乚八
𨁷	足十目乚
𡂌	口匕目乚八小丿
𡻗	山匕目乚八
𬉌	氵口匕目乚八
𤛇	牛匕目乚八
𢅬	白巾匕目乚八
𩝻	食匕目乚八
𤠶	犭匕目乚八

# 且八・目一八
具	目一八
真	十目一八
鎮	金十目一八
填	土十目一八
顛	十目一八頁
慎	忄十目一八
槙	木十目一八
黰	四二灬匕目一八
鷏	十目一八鳥

# 巳・卩
呃	口厂卩
圈	圍半卩
犯	犭卩
范	艹氵卩
厄	厂卩
卷	半卩
捲	扌半卩
範	⺮車卩
脆	月𠂊厂卩
跪	足𠂊厂卩
危	𠂊厂卩
倦	亻半卩
扼	扌厂卩
詭	言𠂊厂卩
蜷	虫半卩
氾	氵卩
綣	絲半卩
卮	斤一卩
苊	艹厂卩
桅	木𠂊厂卩
錈	金半卩
軛	車厂卩
佹	亻𠂊厂卩
鬈	長彡半卩
棬	木半卩
菤	艹半卩
姽	女𠂊厂卩
惓	忄半卩
垝	土𠂊厂卩
笵	⺮氵卩
鮠	魚𠂊厂卩
頠	𠂊厂卩頁
洈	氵𠂊厂卩
阨	阝厂卩
腃	月半卩
踡	足半卩
睠	目半卩
硊	石𠂊厂卩
埢	土半卩
蔨	艹圍半卩
篹	⺮目大卩
蚅	虫厂卩
卼	尤𠂊厂卩
臲	自木𠂊厂卩
蛫	虫𠂊厂卩
婘	女半卩
峞	山𠂊厂卩
峗	山𠂊厂卩
犈	牛半卩
裷	衤半卩
觤	𠂊用𠂊厂卩
寋	宀甘八卩
祪	礻𠂊厂卩
栀	扌斤一卩
卺	㇕水一卩
韆	革之西大卩
僊	亻西大卩
顾	厂卩頁
抢	扌人卩
枪	木人卩
仓	人卩
戗	人卩戈
创	人卩刂
舱	舟人卩
诡	言𠂊厂卩
疮	疒人卩
玱	王人卩
苍	艹人卩
轭	車厂卩
跄	足人卩
伧	亻人卩
鸧	人卩鳥
锩	金半卩
𬱟	𠂊厂卩頁
𬶏	魚𠂊厂卩
炝	火人卩
怆	忄人卩
沧	氵人卩
绻	絲半卩
𫶺	十艹二儿𠂊厂卩
𠱍	口犭卩
𡳀	尸毛𠂊厂卩
𦟒	七凵月𠂊厂卩
𠨪	𠂊厂卩土土土尤
恑	忄𠂊厂卩
𦙜	月厂卩
𬥣	八刀貝𠂊厂卩
𤷄	疒半卩
𬪾	千日二厂卩
𱣜	木扌厂卩
𫡌	口中半卩
𫃔	米卜口半卩
𠱓	口𠂊厂卩
𫥊	冫𠂊厂卩
淃	氵半卩

# 己・巳
起	走巳
包	勹己
選	之己己廿八
泡	氵勹己
抱	扌勹己
港	氵廿八己
捲	扌半己
飽	食勹己
巷	廿八己
遷	之西大己
倦	亻半己
胞	月勹己
撰	扌己己廿八
巽	己己廿八

# 尔・尓
你	亻𠂉小
您	亻𠂉小心
妳	女𠂉小
寳	宀王𠂉小貝
珎	王𠂉小
称	禾𠂉小
猕	犭弓𠂉小
尔	𠂉小
迩	之𠂉小
弥	弓𠂉小
狝	犭𠂉小
玺	𠂉小王丶
祢	礻𠂉小
𨤰	𠂉小王甲二
𥜡	礻𠂉小王甲二
𦼜	艹走𠂉小
𨤧	甲二𠂉小
𠦿	禾𠂉小丿艹
趂	走𠂉小
𫒂	𠂉小甲二
𫵇	尸目𠂉小
𥅘	目𠂉小
𢺔	扌宀王𠂉小貝
𠺰	口禾𠂉小
𠰚	口𠂉小
𢘝	忄𠂉小
𨃾	禾𠂉小足
𡮠	𠂉小尸目
𪮭	扌走𠂉小
𫐪	之力𠂉小
𪡇	口亻𠂉小
䟢	足𠂉小
𥙧	礻乚𠂉小

# 大・犬
器	口口大口
類	米大頁
臭	自大
突	穴大
莽	艹大艹
蟒	虫艹大艹
唳	口户大
捩	扌户大
綟	絲户大

# 丷・八
# 兑・兌
# 乚・乙
# 艮・皀
# 月・円
# 礻・示
